game_pair,origin,target
Asteroid->Viking,Asteroid,Viking
Brain->Telephone,Brain,Telephone
Theatre->Zebra,Theatre,Zebra
Pyramid->Bean,Pyramid,Bean
Batman->Wood,Batman,Wood
Bird->Great_white_shark,Bird,Great_white_shark
Batman->The_Holocaust,Batman,The_Holocaust
Bird->Adolf_Hitler,Bird,Adolf_Hitler
Beer->Sun,Beer,Sun
Batman->Banana,Batman,Banana
Cat->Computer,Cat,Computer
Cat->Microsoft,Cat,Microsoft
Dog->Telephone,Dog,Telephone
Flower->Adolf_Hitler,Flower,Adolf_Hitler
Automobile->Pluto,Automobile,Pluto
Dog->Venus,Dog,Venus
Batman->Bible,Batman,Bible
Aluminium_chloride->Parrot,Aluminium_chloride,Parrot
England->God,England,God
Achilles_tendon->Ocean,Achilles_tendon,Ocean
Calculus->Paul_McCartney,Calculus,Paul_McCartney
Aircraft->Google,Aircraft,Google
Electricity->God,Electricity,God
Brazil->Hydrogen,Brazil,Hydrogen
Art->Mango,Art,Mango
Africa->England,Africa,England
Archbishop_of_Canterbury->Vietnam,Archbishop_of_Canterbury,Vietnam
Computer->Fruit,Computer,Fruit
Computer->Russia,Computer,Russia
Cat->Adolf_Hitler,Cat,Adolf_Hitler
14th_century->Rainbow,14th_century,Rainbow
Jesus->God,Jesus,God
Manchester->Water,Manchester,Water
China->Moon,China,Moon
Batman->Penguin,Batman,Penguin
Jesus->Adolf_Hitler,Jesus,Adolf_Hitler
Antlion->Hip_hop_music,Antlion,Hip_hop_music
Batman->Japan,Batman,Japan
Batman->Vitamin_D,Batman,Vitamin_D
Brothers_Grimm->Windows_Vista,Brothers_Grimm,Windows_Vista
Batman->Albert_Einstein,Batman,Albert_Einstein
Achilles_tendon->Ivory,Achilles_tendon,Ivory
Computer_programming->Fresh_water,Computer_programming,Fresh_water
Calculus->Lemon,Calculus,Lemon
California->Adolf_Hitler,California,Adolf_Hitler
Apple->Banana,Apple,Banana
Cat->Dog,Cat,Dog
Automobile->Windows_XP,Automobile,Windows_XP
Apple->Fruit,Apple,Fruit
Moon->Mars,Moon,Mars
